from,to,length,oneway,name
244316,244308,118.48464802125284,True,Малоохтинский проспект
244316,3306063971,27.59851918718563,True,Заневский проспект
244317,3306063971,109.29278381286616,True,Малоохтинский проспект
244317,244308,24.413396704639332,True,Заневский проспект
244322,281327675,250.68120324790303,True,Новочеркасский проспект
244322,3628552543,274.75780556999877,True,Перевозный переулок
244326,268701446,67.84935053926613,False,Республиканская улица
244326,5188168118,203.85818770020776,True,Малоохтинский проспект
244326,395013177,247.98635155941233,False,Республиканская улица
244326,276301272,337.4493829190653,False,Малоохтинский проспект
244340,1834056500,118.44005999485901,True,Малоохтинская набережная
244353,244360,526.4452587273215,True,"['Свердловская набережная', 'Малоохтинский мост', 'Малоохтинская набережная']"
244353,18701650,487.83230369836855,True,
244360,365417678,984.8000616052036,True,Свердловская набережная
244407,3236669910,52.06672201838134,True,
244407,244408,51.17974611816639,False,
244408,244407,51.17974611816639,False,
244408,249084451,32.72064288606011,True,
244409,249084451,30.097607575150793,True,Синопская набережная
244409,244408,28.242292942551465,True,
244445,9951084167,440.5989679154082,False,Апраксин переулок
244445,21991234,109.74317791080426,True,набережная реки Фонтанки
245884,21626507,93.19176884093503,False,улица Моисеенко
245884,10275215808,746.0409111699136,True,Синопская набережная
245890,245893,214.07649527820246,True,проспект Обуховской Обороны
245893,106258438,193.64818985961665,True,"['проспект Обуховской Обороны', 'Шлиссельбургский мост']"
245893,5297437120,190.75566283304934,True,набережная Обводного канала
245940,408065951,3.7390411067055207,True,Биржевая площадь
245941,332674,149.10737567283763,True,Биржевая площадь
245941,408065329,40.12537927005302,False,Биржевой проезд
245943,353821,121.22564057959524,True,2-3-я линии В.О.
245943,245944,80.1307469200844,False,Румянцевская площадь
245944,245943,80.1307469200844,False,Румянцевская площадь
245944,3670328122,77.05008718104307,False,Румянцевская площадь
245944,308230,244.20052200065032,False,улица Репина
245965,1591732109,248.3464267317492,False,улица Пестеля
245965,22311226,532.8886982647557,True,набережная реки Фонтанки
245965,9951048942,221.1557516129763,True,"['Нижний Лебяжий мост', 'улица Пестеля', 'Пантелеймоновский мост', 'набережная реки Мойки']"
245975,2277216496,202.99041636253784,True,набережная реки Мойки
245975,1614720240,143.46374157567658,True,набережная реки Мойки
245994,3690901049,196.05987648108572,True,набережная канала Грибоедова
245994,12927590406,43.576409535377906,True,Театральная площадь
246003,308641585,289.7855676558224,True,набережная реки Фонтанки
246008,106137717,190.2350697635665,False,Демонстрационный проезд
246008,246010,288.7805518259805,True,улица Типанова
246008,353570,267.3254748959463,False,Демонстрационный проезд
246010,5059285258,14.323217700862177,True,улица Типанова
246010,106136768,190.412272602619,True,улица Ленсовета
246011,353574,47.04021495862452,True,улица Ленсовета
246011,246012,326.5828780575964,True,улица Типанова
246012,21996078,301.36607010070384,True,проспект Юрия Гагарина
246012,1712570951,96.34956174571771,True,улица Типанова
246013,255355828,616.0496307143884,True,улица Ленсовета
246013,5331721987,12.69226773529931,True,улица Орджоникидзе
246058,252601540,56.938301290794236,False,Волхонское шоссе
246058,956474519,40.83709170350784,False,Волхонское шоссе
246058,954969326,97.52765381444678,False,Соболевская дорога
246058,131710110,39.33105856211867,False,Кузьминское шоссе
246069,2945356217,245.3137658225316,False,Железнодорожный проспект
246069,5233435452,523.756818625884,True,Железнодорожный проспект
246069,5286376681,278.7920111157366,True,Белевский проспект
246096,6133551498,13.688277449685462,True,Южное шоссе
246096,3135946978,615.9651999611237,True,Софийская улица
246096,6849232547,1475.3611282149564,False,Южное шоссе
246100,5593299342,337.907328097522,False,Сортировочная-Московская улица
246100,303309851,260.7135131192031,False,Сортировочная-Московская улица
246100,1512011533,250.5293277945978,True,Южное шоссе
246113,371317178,215.23540108651417,False,проспект Елизарова
246113,371318700,394.52524383860214,False,"['проспект Елизарова', 'Старопутиловский вал']"
246113,249300950,328.2799843778497,False,Уездный проспект
246122,249168152,12.43929026883442,False,проспект Елизарова
246122,941361697,93.94212453317031,True,проспект Обуховской Обороны
246122,941361706,174.6395441478699,False,проспект Елизарова
246124,941361689,215.30428959927295,False,
246124,941361664,127.18871148933736,True,улица Ольги Берггольц
246126,353723,379.4241002868362,True,проспект Обуховской Обороны
246126,249168151,12.302066564974666,True,улица Ольги Берггольц
246159,11329031817,9.286111750420071,True,Дальневосточный проспект
246159,219205961,23.55687094640418,True,улица Дыбенко
246159,11329031819,519.2713314697597,True,улица Дыбенко
246166,96827498,15.744616959680481,True,улица Дыбенко
246166,431059145,509.4993225370542,True,проспект Большевиков
246175,504903398,21.821022152987478,True,Российский проспект
246175,246178,497.3577877536079,True,"['улица Коллонтай', 'мост Коллонтай']"
246178,491503963,15.514383883148144,True,улица Коллонтай
246178,10204728602,796.7753014373852,True,Товарищеский проспект
246184,1835511829,23.686363633294597,True,проспект Солидарности
246184,6551550568,138.89583223474074,False,проспект Солидарности
246191,10242713869,13.629971177421757,True,улица Тельмана
246191,1484586204,154.72320029680222,False,
246191,524391232,166.30774342556234,True,проспект Большевиков
246194,2060033603,324.7018791493977,False,
246194,502622717,648.3116847793384,True,"['путепровод Нева', 'Мурманское шоссе']"
258913,8003247626,72.79460275002384,True,Среднеохтинский проспект
258913,2035443322,12.369561257466218,False,Тарасова улица
258913,3603737,258.9903650047757,True,Тарасова улица
258967,7935329239,528.5266953893666,True,проспект Энергетиков
258968,25719207,14.832967133514645,False,Партизанская улица
258968,1819648113,37.27160322369881,False,Партизанская улица
258968,258967,43.619439882250525,True,проспект Энергетиков
258976,1905581259,788.4746553757716,False,Магнитогорская улица
258976,258979,335.38683416089776,False,проспект Энергетиков
258976,10208112968,329.50982731104835,True,проспект Энергетиков
258979,1503436771,127.10608328659978,True,"['мост Энергетиков', 'проспект Энергетиков']"
258979,258976,335.3868341608979,False,проспект Энергетиков
276629,230274,338.66006351251787,True,Среднеохтинский проспект
276639,21742661,161.27143137728405,True,Графский переулок
276639,223697,117.8716679436281,True,Владимирский проспект
276653,534088679,212.94967485773356,False,улица Зодчего Росси
276653,1480189874,148.3903726340805,True,площадь Островского
