id,lat,lon
219808,59.895094,30.3314215
219811,59.8993013,30.3374752
219812,59.9017314,30.3395524
219816,59.9098089,30.3468797
219818,59.9120443,30.3483705
219819,59.9149316,30.3502097
219821,59.9285573,30.3593555
223631,59.9463873,30.2897198
223633,59.9456031,30.2942352
223634,59.9452742,30.3003519
223647,59.9381263,30.2945979
223648,59.9365623,30.2888692
223677,59.9141862,30.3549587
223680,59.9136143,30.36233
223683,59.9144177,30.3747371
223691,59.9271049,30.3717641
223697,59.9291284,30.3475315
223707,59.9421782,30.3228927
226862,59.9420898,30.3281661
226863,59.942501,30.3264618
230274,59.9435541,30.412234
230275,59.9427985,30.3941477
230320,59.946571,30.3488478
230327,59.9372513,30.2121588
230334,59.9401126,30.2155332
230335,59.9404907,30.2172321
230336,59.93956,30.2180616
237691,59.9379996,30.3425297
237693,59.9271647,30.2408279
237695,59.9312648,30.2720624
237696,59.9324534,30.2740882
237697,59.9335039,30.2762394
237698,59.9344606,30.278497
237699,59.935202,30.2810336
237701,59.9358485,30.2837511
237711,59.8519932,30.3028921
237712,59.8520112,30.3066147
237733,59.7806999,30.3250134
237754,59.7193781,30.2832552
237764,59.8519151,30.2803513
237765,59.8519276,30.2829177
237768,59.8520168,30.238552
237783,59.8543042,30.2675078
237784,59.8439711,30.2646646
237800,59.8574522,30.1763968
237801,59.861282,30.1796549
237803,59.8529123,30.1964129
244266,59.8537011,30.3606666
244267,59.8546185,30.3686055
244271,59.8618707,30.4022584
244274,59.8656379,30.4143779
244283,59.8788329,30.4551119
244288,59.8818613,30.4696778
244308,59.9261743,30.4006676
244309,59.9218671,30.407107
244316,59.9271545,30.3998337
244317,59.9262894,30.4010407
244322,59.9314378,30.4097482
244326,59.9341728,30.4026214
244340,59.9400689,30.4040648
244353,59.944012,30.4050821
244360,59.9486084,30.4071712
244407,59.9238546,30.3898122
244408,59.9239719,30.3907003
244409,59.9241414,30.3910316
244445,59.9265879,30.3297422
245884,59.9374672,30.3955815
245890,59.9216651,30.3929454
245893,59.9202313,30.3955089
245940,59.9446887,30.3038594
245941,59.9443277,30.3047458
245943,59.9385369,30.2907489
245944,59.9389014,30.2919899
245965,59.9422004,30.3389252
245975,59.9321118,30.3121902
245994,59.9256223,30.3003427
246003,59.9226239,30.3193994
246008,59.850985,30.3246176
246010,59.8510582,30.3297864
246011,59.8520466,30.3299884
246012,59.8521407,30.3358301
246013,59.8442907,30.3301715
246058,59.7283231,30.3552976
246069,59.88171,30.4157789
246096,59.8637032,30.4169765
246100,59.8675595,30.4286729
246113,59.8931055,30.4090124
246122,59.8986578,30.4303989
246124,59.895584,30.4281859
246126,59.897387,30.4324675
246159,59.9010047,30.4584342
246166,59.9068153,30.4827338
246175,59.9197365,30.4707229
246178,59.9216392,30.4787994
246184,59.9286287,30.4858658
246191,59.8923354,30.490913
246194,59.8864884,30.5010671
258913,59.949566,30.4144757
258967,59.9483231,30.4363442
258968,59.9479323,30.4362886
258976,59.940334,30.4349395
258979,59.9373227,30.4352563
276629,59.9464548,30.4139831
276639,59.9301875,30.3476196
276653,59.9313379,30.3360213
276676,59.9413904,30.3185209
306604,59.9440964,30.2893728
306607,59.945402,30.2916478
